Author ID,Author_first,Author Middle,Author_Last
1,Douglas,,Adams
2,Jane,,Austen
3,James,,Baldwin
4,J.M.,,Barrie
5,George,Bernard,Shaw
6,Charles,,Bukowski
7,George,,Carlin
8,Suzanne,,Collins
9,E.E.,,Cummings
10,Alexandre,fils,Dumas
11,Thomas,A,Edison
12,Albert,,Einstein
13,George,,Eliot
14,W.C.,,Fields
15,Andre,,Gide
16,Ernest,,Hemingway
17,Jimi,,Hendrix
18,Jim,,Henson
19,Theodor,,Herzl
20,Khaled,,Hosseini
21,Garrison,,Keillor
22,Helen,,Keller
23,Harper,,Lee
24,Madeleine,,L'Engle
25,John,,Lennon
26,C.S.,,Lewis
27,Jorge,Luis,Borgis
28,Martin,,Luther
29,Charles,M.,Schultz
30,Bob,,Marley
31,Steve,,Martin
32,Stephenie,,Meyer
33,Marilyn,,Monroe
34,Haruki,,Murakami
35,Pablo,,Neruda
36,William,,Nicholson
37,Friedrich,,Nietzsche
38,Terry,,Pratchett
39,George,R.R.,Martin
40,Ayn,,Rand
41,Eleanor,,Roosevelt
42,J.K.,,Rowling
43,J.D.,,Salinger
44,Allen,,Saunders
45,Dr.,,Seuss
46,Alfred,,Tennyson
47,Mother,,Teresa
48,J.R.R.,,Tolkien
49,Mark,,Twain
50,Ralph,Waldo,Emerson
51,Elie,,Wiesel
